education,gender,agegroup,ID
Maturität,Männlich,18 - 24,gKCAv1jYCH
Maturität,Männlich,18 - 24,OH2BbLAAnw
BA,Weiblich,18 - 24,jxMa8TQe1x
Maturität,Weiblich,18 - 24,FO5KTfTA0b
Maturität,Männlich,18 - 24,8ZesqkUIrY
BA,Männlich,18 - 24,QfEdKsvbiR
Maturität,Weiblich,18 - 24,CIt60Qf0SQ
Maturität,Männlich,18 - 24,1eMJd8g7pY
Maturität,Weiblich,18 - 24,S3h5JZgWfl
Maturität,Männlich,18 - 24,uVzYHAC4Nd
Sekundarstufe I,Männlich,18 - 24,zZVOKlZqAD
MA,Männlich,18 - 24,v1KDm4dSXk
BA,Weiblich,25 - 34,mpCJpaotYU
MA,Männlich,18 - 24,2QkBMFVqWY
Maturität,Weiblich,18 - 24,Q7qlXjGCgi
Maturität,Männlich,25 - 34,E6cW6Xmpio
BA,Männlich,18 - 24,atFthpQo8r
Höherer Abschluss,Weiblich,45 - 54,cRitJHbicf
Maturität,Männlich,18 - 24,5wYgxdXMNz
Höherer Abschluss,Männlich,45 - 54,pA4RY78Flx
Maturität,Männlich,18 - 24,kiVaCOHYe8
Maturität,Männlich,18 - 24,cyqhqjb7vq
Maturität,Männlich,18 - 24,q2RFBUfvys
Sekundarstufe I,Männlich,25 - 34,3zfUwF0I0p
Maturität,Weiblich,18 - 24,QC7ych62aQ
Maturität,Männlich,18 - 24,6myVbDffSw
Maturität,Weiblich,18 - 24,L02N33oedQ
Maturität,Männlich,18 - 24,jxUTYqGagP
MA,Männlich,45 - 54,sDEN7LwbGp
Maturität,Weiblich,18 - 24,70hRiESE9r
Maturität,Weiblich,18 - 24,RynKQQqtsg
Maturität,Männlich,18 - 24,Wr4qS2EQkU
Maturität,Männlich,18 - 24,cZOhTFUyCg
Sekundarstufe I,Männlich,55 - 64,xolxFygoat
Höherer Abschluss,Weiblich,65 oder älter,SWTiXimSv4
Sekundarstufe I,Männlich,35 - 44,SJZv027Caw
Höherer Abschluss,Männlich,55 - 64,afPtyAkATl
BA,Männlich,45 - 54,E9zfW71v8D
Sekundarstufe I,Männlich,45 - 54,EC2iGEKHse
BA,Weiblich,35 - 44,7dF5MvuFwy
MA,Männlich,45 - 54,ES37uK1CZt
BA,Männlich,45 - 54,OEneX1dBlB
Höherer Abschluss,Männlich,55 - 64,3ub62RuEmJ
Sekundarstufe I,Weiblich,65 oder älter,6ZqeLxAUUR
Sekundarstufe I,Männlich,45 - 54,pmRRrot3pz
Sekundarstufe I,Männlich,55 - 64,fWSYTD6lHt
MA,Männlich,45 - 54,y8e11X2mQF
BA,Männlich,55 - 64,jpMzFyQFCE
Maturität,Weiblich,18 - 24,5OzKCGLlrz
Maturität,Männlich,25 - 34,d06O0HvbbO
BA,Weiblich,18 - 24,HMW8QUO0p0
Maturität,Weiblich,18 - 24,Ie8ORXaWm8
MA,Männlich,35 - 44,zMz8ob3i4h
